Channel			  :,CH1
Frequency			  :,F=3.021MHz
Period 			  :,T=320.0ns
PK-PK				  :,Vpp=2.020V
Average			  :,V=50.47mV
Vertical pos		  :,0.00mV
Probe attenuation	  :,1X
Voltage per ADC value:,20.00mV
Time interval		  :,0.02uS

index,CH1_Voltage(mV)
897,600.00
898,320.00
899,40.00
900,-160.00
901,-280.00
902,-300.00
903,-180.00
904,0.00
905,300.00
906,540.00
907,780.00
908,920.00
909,920.00
910,820.00
911,620.00
912,340.00
913,80.00
914,-140.00
915,-280.00
916,-300.00
917,-200.00
918,0.00
919,260.00
920,520.00
921,760.00
922,900.00
923,940.00
924,840.00
925,640.00
926,360.00
927,100.00
928,-120.00
929,-260.00
930,-300.00
931,-220.00
932,-20.00
933,240.00
934,500.00
935,720.00
936,900.00
937,940.00
938,840.00
939,660.00
940,400.00
941,120.00
942,-100.00
943,-260.00
944,-320.00
945,-240.00
946,-40.00
947,220.00
948,480.00
949,720.00
950,880.00
951,940.00
952,860.00
953,660.00
954,420.00
955,140.00
956,-80.00
957,-260.00
958,-320.00
959,-240.00
960,-60.00
961,180.00
962,460.00
963,700.00
964,880.00
965,940.00
966,860.00
967,680.00
968,440.00
969,180.00
970,-60.00
971,-240.00
972,-300.00
973,-240.00
974,-80.00
975,160.00
976,420.00
977,660.00
978,860.00
979,940.00
980,880.00
981,700.00
982,460.00
983,200.00
984,-40.00
985,-220.00
986,-300.00
987,-260.00
988,-100.00
989,120.00
990,380.00
991,660.00
992,840.00
993,940.00
994,900.00
995,740.00
996,520.00
997,240.00
998,-20.00
999,-220.00
1000,-320.00
1001,-280.00
1002,-120.00
1003,100.00
1004,360.00
1005,640.00
1006,820.00
1007,920.00
1008,900.00
1009,740.00
1010,520.00
1011,260.00
1012,0.00
1013,-200.00
1014,-300.00
1015,-280.00
1016,-140.00
1017,80.00
1018,340.00
1019,620.00
1020,820.00
1021,920.00
1022,920.00
1023,780.00
1024,560.00
1025,300.00
1026,0.00
1027,-180.00
1028,-300.00
1029,-300.00
1030,-160.00
1031,40.00
1032,320.00
1033,600.00
1034,800.00
1035,920.00
1036,920.00
1037,800.00
1038,580.00
1039,320.00
1040,40.00
1041,-160.00
1042,-280.00
1043,-280.00
1044,-180.00
1045,40.00
1046,300.00
1047,560.00
1048,780.00
1049,900.00
1050,920.00
1051,800.00
1052,600.00
1053,320.00
1054,60.00
1055,-160.00
1056,-300.00
1057,-300.00
1058,-200.00
1059,0.00
1060,260.00
1061,540.00
1062,760.00
1063,900.00
1064,920.00
1065,840.00
1066,640.00
1067,360.00
1068,100.00
1069,-120.00
1070,-280.00
1071,-300.00
1072,-220.00
1073,-20.00
1074,240.00
1075,500.00
1076,720.00
1077,900.00
1078,940.00
1079,840.00
1080,660.00
1081,380.00
1082,120.00
1083,-120.00
1084,-280.00
1085,-320.00
1086,-220.00
1087,-20.00
1088,220.00
1089,480.00
1090,720.00
1091,880.00
1092,940.00
1093,860.00
1094,660.00
1095,420.00
1096,140.00
1097,-80.00
1098,-260.00
1099,-300.00
1100,-240.00
1101,-60.00
1102,180.00
1103,440.00
1104,680.00
1105,860.00
1106,920.00
1107,880.00
1108,700.00
1109,460.00
1110,200.00
1111,-60.00
1112,-240.00
1113,-300.00
1114,-240.00
1115,-80.00
1116,140.00
1117,420.00
1118,660.00
1119,860.00
1120,920.00
1121,880.00
1122,720.00
1123,480.00
1124,200.00
1125,-40.00
1126,-240.00
1127,-320.00
1128,-280.00
1129,-100.00
1130,120.00
1131,380.00
1132,660.00
1133,860.00
1134,940.00
1135,900.00
1136,740.00
1137,500.00
1138,240.00
1139,-20.00
1140,-220.00
1141,-300.00
1142,-280.00
1143,-120.00
1144,100.00
1145,380.00
1146,640.00
1147,820.00
1148,920.00
1149,900.00
1150,740.00
1151,520.00
1152,260.00
1153,0.00
1154,-220.00
1155,-320.00
1156,-320.00
1157,-180.00
1158,60.00
1159,340.00
1160,620.00
1161,820.00
1162,940.00
1163,900.00
1164,720.00
1165,520.00
1166,320.00
1167,180.00
1168,120.00
1169,160.00
1170,240.00
1171,300.00
1172,300.00
1173,200.00
1174,40.00
1175,-140.00
1176,-300.00
1177,-340.00
1178,-300.00
1179,-120.00
1180,140.00
1181,400.00
1182,640.00
1183,780.00
1184,800.00
1185,660.00
1186,440.00
1187,140.00
1188,-120.00
1189,-340.00
1190,-460.00
1191,-480.00
1192,-340.00
1193,-140.00
1194,100.00
1195,380.00
1196,620.00
1197,740.00
1198,740.00
1199,640.00
1200,-100.00
1201,-320.00
1202,-440.00
1203,-460.00
1204,-360.00
1205,-160.00
1206,100.00
1207,360.00
1208,600.00
1209,720.00
1210,740.00
1211,660.00
1212,440.00
1213,200.00
1214,-80.00
1215,-320.00
1216,-440.00
1217,-480.00
1218,-380.00
1219,-180.00
1220,60.00
1221,340.00
1222,580.00
1223,720.00
1224,760.00
1225,680.00
1226,480.00
1227,220.00
1228,-40.00
1229,-280.00
1230,-420.00
1231,-460.00
1232,-380.00
1233,-220.00
1234,40.00
1235,320.00
1236,560.00
1237,700.00
1238,760.00
1239,660.00
1240,500.00
1241,260.00
1242,-20.00
1243,-280.00
1244,-440.00
1245,-480.00
1246,-400.00
1247,-220.00
1248,20.00
1249,300.00
1250,540.00
1251,700.00
1252,760.00
1253,700.00
1254,520.00
1255,280.00
1256,0.00
1257,-240.00
1258,-400.00
1259,-480.00
1260,-420.00
1261,-260.00
1262,0.00
1263,280.00
1264,520.00
1265,680.00
1266,760.00
1267,700.00
1268,540.00
1269,300.00
1270,20.00
1271,-220.00
1272,-400.00
1273,-480.00
1274,-420.00
1275,-280.00
1276,-20.00
1277,240.00
1278,500.00
1279,680.00
1280,760.00
1281,700.00
1282,560.00
1283,320.00
1284,40.00
1285,-200.00
1286,-380.00
1287,-480.00
1288,-440.00
1289,-300.00
1290,-60.00
1291,200.00
1292,460.00
1293,660.00
1294,760.00
1295,740.00
1296,600.00
1297,340.00
1298,80.00
1299,-180.00
1300,-360.00
1301,-460.00
1302,-440.00
1303,-320.00
1304,-80.00
1305,180.00
1306,440.00
1307,660.00
1308,740.00
1309,720.00
1310,600.00
1311,380.00
1312,100.00
1313,-140.00
1314,-340.00
1315,-460.00
1316,-460.00
1317,-340.00
1318,-100.00
1319,160.00
1320,420.00
1321,660.00
1322,760.00
1323,740.00
1324,640.00
1325,400.00
1326,140.00
1327,-140.00
1328,-340.00
1329,-460.00
1330,-460.00
1331,-340.00
1332,-140.00
1333,120.00
1334,380.00
1335,620.00
1336,740.00
1337,740.00
1338,640.00
1339,420.00
1340,160.00
1341,-100.00
1342,-320.00
1343,-460.00
1344,-460.00
1345,-340.00
1346,-160.00
1347,100.00
1348,380.00
1349,620.00
1350,740.00
1351,740.00
1352,660.00
1353,440.00
1354,180.00
1355,-80.00
1356,-320.00
1357,-440.00
1358,-480.00
1359,-380.00
1360,-180.00
1361,80.00
1362,340.00
1363,580.00
1364,720.00
1365,760.00
1366,660.00
1367,460.00
1368,200.00
1369,-60.00
1370,-300.00
1371,-440.00
1372,-480.00
1373,-380.00
1374,-200.00
1375,60.00
1376,320.00
1377,580.00
1378,720.00
1379,760.00
1380,660.00
1381,480.00
1382,240.00
1383,-20.00
1384,-260.00
1385,-420.00
1386,-480.00
1387,-400.00
1388,-240.00
1389,20.00
1390,300.00
1391,560.00
1392,700.00
1393,760.00
1394,700.00
1395,520.00
1396,280.00
1397,0.00
1398,-260.00
1399,-420.00
1400,-480.00
1401,-420.00
1402,-260.00
1403,0.00
1404,280.00
1405,520.00
1406,680.00
1407,760.00
1408,700.00
1409,540.00
1410,300.00
1411,20.00
1412,-240.00
1413,-400.00
1414,-480.00
1415,-420.00
1416,-280.00
1417,-20.00
1418,260.00
1419,500.00
1420,680.00
1421,760.00
1422,700.00
1423,560.00
1424,320.00
1425,40.00
1426,-200.00
1427,-380.00
1428,-480.00
1429,-440.00
1430,-300.00
1431,-40.00
1432,220.00
1433,480.00
1434,660.00
1435,760.00
1436,720.00
1437,580.00
1438,320.00
1439,60.00
1440,-180.00
1441,-360.00
1442,-460.00
1443,-440.00
1444,-320.00
